Autoritate contractanta,CUI,Tip autoritate,Tip activitate,Tip anunt,Tip procedura,Tip legislatie,Tip incheiere contract,Tip contract,Modalitate de desfasurare,Cu licitatie electronica?,Tip criteriu de atribuire,Cod CPV,Denumire CPV,Numar anunt initiere,Data publicare,Numar lot,Numar anunt atribuire,Data publicare,Data contract,Numar contract,Incheiar prin ,Valoare contract (RON),Ofertant,CUI ofertant,Oras,Tara
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,09/27/2022 00:00:00,3154,Cu acord cadru subsecvent,"246,019",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,10/11/2022 00:00:00,3203,Cu acord cadru subsecvent,"19,020",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,10/18/2022 00:00:00,3255,Cu acord cadru subsecvent,"19,750",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,11/07/2022 00:00:00,3308,Cu acord cadru subsecvent,"127,824",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,11/16/2022 00:00:00,3359/1,Cu acord cadru subsecvent,"23,494",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,12/12/2022 00:00:00,3434,Cu acord cadru subsecvent,"201,508",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,01/11/2023 00:00:00,2018/1,Cu acord cadru subsecvent,"145,548",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,01/25/2023 00:00:00,2089,Cu acord cadru subsecvent,"25,790",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,02/21/2023 00:00:00,2207,Cu acord cadru subsecvent,"206,684",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,03/16/2023 00:00:00,2326,Cu acord cadru subsecvent,"204,126",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,04/03/2023 00:00:00,2409,Cu acord cadru subsecvent,"13,250",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,04/12/2023 00:00:00,2461,Cu acord cadru subsecvent,"181,580",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,04/27/2023 00:00:00,2552,Cu acord cadru subsecvent,"26,500",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,05/09/2023 00:00:00,2616,Cu acord cadru subsecvent,"188,984",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,06/07/2023 00:00:00,2744,Cu acord cadru subsecvent,"183,614",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,06/29/2023 00:00:00,2868,Cu acord cadru subsecvent,"43,260",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,07/10/2023 00:00:00,2909,Cu acord cadru subsecvent,"224,408",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,07/18/2023 00:00:00,2983,Cu acord cadru subsecvent,"21,730",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,08/07/2023 00:00:00,3068,Cu acord cadru subsecvent,"192,850",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,08/23/2023 00:00:00,3137,Cu acord cadru subsecvent,"52,488",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,09/12/2023 00:00:00,3237,Cu acord cadru subsecvent,"192,866",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,10/03/2023 00:00:00,3327/1,Cu acord cadru subsecvent,"27,113",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,10/17/2023 00:00:00,3413/1,Cu acord cadru subsecvent,"202,546",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,11/15/2023 00:00:00,3570/1,Cu acord cadru subsecvent,"315,476",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,12/12/2023 00:00:00,3724/1,Cu acord cadru subsecvent,"438,920",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,01/26/2024 00:00:00,2079/1,Cu acord cadru subsecvent,"84,007",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,02/20/2024 00:00:00,2185/24,Cu acord cadru subsecvent,"90,290",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,32,CAN1063800,03/25/2024 13:01:53,03/04/2024 00:00:00,2276/24,Cu acord cadru subsecvent,"438,164",TZMO ROMANIA,RO 9693687,Clinceni,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,33,CAN1063800,03/25/2024 13:01:53,12/15/2021 00:00:00,3302 / 3303 / 3301,Cu acord cadru,"2,104,800",CRIO - 2 S.R.L.,RO 4414293,Iasi,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,33,CAN1063800,03/25/2024 13:01:53,12/15/2021 00:00:00,3302 / 3303 / 3301,Cu acord cadru,"2,104,800",DELUXE CARDS,RO18035010,Bucuresti,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,33,CAN1063800,03/25/2024 13:01:53,12/15/2021 00:00:00,3302 / 3303 / 3301,Cu acord cadru,"2,104,800",LUAN VISION,RO23801784,Paleu,Romania
"Spitalul Judetan de Urgenta ""Mavromati"" Botosani",4557951,Institutii si servicii publice,Sanatate,Anunt de atribuire,Licitatie deschisa,Legea nr. 98/23.05.2016,Incheierea unui acord-cadru,Furnizare,Online,NU,Pretul cel mai scazut,33183300-9,Aparate de osteosinteza (Rev.2),CN1027691,01/15/2021 01:35:39,4,CAN1063800,03/25/2024 13:01:53,09/14/2021 00:00:00,2924/2925,Cu acord cadru,"650,880",PHM COMSERV S.R.L.,RO 21314065,Bucuresti,Romania
